implementing_agency,change_period,shift_t,mix_js,change_score,n_periods,works_before,works_after,rs_before,rs_after,change_description
Nandyal(DISTRICT COLLECTOR NANDYAL_IDA),2025Q4,2.713005120510123,0.35438171952253494,0.4392162946019621,7,251,37,132451128.87,21576310.0,Nandyal(DISTRICT COLLECTOR NANDYAL_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.35); 50 works/quarter -> 18 works/quarter; 21% round-number amounts -> 69% round-number amounts; 4% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Amethi(DISTRICT MAGISTRAE AMETHI_IDA),2024Q4,2.4313865533090455,0.9004773226541565,0.4347008669763611,6,66,31,81350914.0,59128810.0,Amethi(DISTRICT MAGISTRAE AMETHI_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.90); 33 works/quarter -> 8 works/quarter; 11% round-number amounts -> 10% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
PURI(DISTRICT COLLECTOR PURI_IDA),2025Q2,3.0631104281345523,0.27687826773451096,0.4312832728956594,7,610,272,107913387.0,122280000.0,PURI(DISTRICT COLLECTOR PURI_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.28); 203 works/quarter -> 68 works/quarter; 66% round-number amounts -> 95% round-number amounts; 12% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA),2025Q2,3.2446882270759803,0.25027323773935206,0.4266313509695485,7,199,133,36430012.0,28505748.0,NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.25); 66 works/quarter -> 33 works/quarter; 2% repeated descriptions -> 7% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NAYAGARH(DISTRICT COLLECTOR  NAYAGARH_IDA),2025Q1,2.4475389604389846,0.6466219760400019,0.4261581047329639,7,98,437,33470905.0,59158200.0,NAYAGARH(DISTRICT COLLECTOR  NAYAGARH_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.65); 49 works/quarter -> 87 works/quarter; 80% round-number amounts -> 40% round-number amounts; 0% repeated descriptions -> 6% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BONGAIGAON(Deputy Commissioner Bongaigaon_IDA),2025Q1,2.638218707936021,0.3604947655423437,0.4238838697998906,7,39,45,16550000.0,49930000.0,BONGAIGAON(Deputy Commissioner Bongaigaon_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.36); . Before/after shown for review — a change-point is not evidence of wrongdoing.
BURHANPUR(District Collector Burhanpur_IDA),2024Q3,2.5834321618447493,0.39520679597849107,0.4235781475316291,8,79,60,35378660.0,21515871.0,BURHANPUR(District Collector Burhanpur_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.40); 26 works/quarter -> 12 works/quarter; 0% repeated descriptions -> 50% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BANKURA(DISTRICT MAGISTRATE BANKURA_IDA),2024Q3,3.3073977761850664,0.24292165895950474,0.4229895990362613,9,286,174,226445050.0,189553500.0,BANKURA(DISTRICT MAGISTRATE BANKURA_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.24); 143 works/quarter -> 25 works/quarter; 40% repeated descriptions -> 16% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
CHARKI DADRI(Deputy Commissioner Charkhi Dadri_IDA),2025Q4,2.56201856636088,0.4187938985053484,0.42243561579227185,6,26,23,9510612.0,9248755.0,CHARKI DADRI(Deputy Commissioner Charkhi Dadri_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.42); 6 works/quarter -> 12 works/quarter; 0% repeated descriptions -> 35% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA),2025Q1,3.3468374117074227,0.24029660731770008,0.4220462143122553,11,204,217,138796366.0,198620680.0,AHMEDNAGAR(DISTRICT COLLECTOR AHMEDNAGAR_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.24); 29 works/quarter -> 54 works/quarter; 31% round-number amounts -> 98% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA),2025Q2,3.0306671788721595,0.2737577495999441,0.41908444989996846,8,300,170,141124096.0,59621773.0,AURANGABAD(DISTRICT PLANNING OFFICER AURANGABAD_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.27); 3% round-number amounts -> 33% round-number amounts; 34% repeated descriptions -> 7% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA),2025Q3,2.618413965357064,0.35396784446092366,0.40513854041058645,7,261,162,111410700.0,98369852.0,KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.35); 65 works/quarter -> 54 works/quarter; 50% round-number amounts -> 68% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA),2024Q1,2.8669352022488335,0.2923017994968781,0.4046894083360569,8,240,481,128027936.89,154847808.77,SONBHADRA(DISTRICT MAGISTRATE SONBHADRA_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.29); 120 works/quarter -> 80 works/quarter; 33% round-number amounts -> 8% round-number amounts; 0% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MAU(DISTRICT MAGISTRATE MAU_IDA),2024Q1,2.4693275103395638,0.47175373930029507,0.40267758156356004,7,106,261,64273829.0,106925390.0,MAU(DISTRICT MAGISTRATE MAU_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.47); 17% round-number amounts -> 1% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),2024Q3,2.881683518616526,0.28770096209952317,0.4026280852101602,8,85,69,51048304.0,45919987.0,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR): behaviour shifts at 2024Q3 (archetype-mix JS 0.29); 42 works/quarter -> 12 works/quarter; 35% round-number amounts -> 76% round-number amounts; 0% repeated descriptions -> 6% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Eluru(DISTRICT COLLECTOR ELURU_IDA),2025Q4,2.4104830419327983,0.6054238294213254,0.40077999127084823,6,136,34,111756643.0,45980800.0,Eluru(DISTRICT COLLECTOR ELURU_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.61); 34 works/quarter -> 17 works/quarter; 74% round-number amounts -> 35% round-number amounts; 28% repeated descriptions -> 20% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA),2024Q1,2.836686407673067,0.29428428418557384,0.39952863050648546,9,234,140,185253572.0,145357963.0,JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.29); 117 works/quarter -> 20 works/quarter; 4% repeated descriptions -> 11% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA),2024Q3,3.0892402475303515,0.2513083775446393,0.39932280846095286,9,303,194,164646180.4,182485840.0,THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.25); 101 works/quarter -> 32 works/quarter; 2% round-number amounts -> 35% round-number amounts; 1% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA),2024Q1,2.5938913300107083,0.35769899669859795,0.39812318785029543,7,56,158,23424435.380000003,61146818.0,BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.36); 21% round-number amounts -> 42% round-number amounts; 45% repeated descriptions -> 17% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MORBI(District collector Morbi_IDA),2024Q3,3.0024070901735085,0.2623225834811325,0.39649919938733286,10,139,210,49025810.61,136325213.0,MORBI(District collector Morbi_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.26); 46 works/quarter -> 30 works/quarter; 50% round-number amounts -> 69% round-number amounts; 27% repeated descriptions -> 8% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA),2024Q3,3.806403464798706,0.19741269331658734,0.39450243946634594,10,398,230,116099482.9,120186471.0,BHAVNAGAR(DISTRICT COLLECTOR BHAVNAGAR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.20); 133 works/quarter -> 33 works/quarter; 34% round-number amounts -> 71% round-number amounts; 31% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA),2024Q3,4.201337394913837,0.19358912885660567,0.39173948158000543,9,162,127,55344421.0,59952416.0,SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.19); 54 works/quarter -> 21 works/quarter; 6% round-number amounts -> 66% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
DEWAS(DISTRICT COLLECTOR DEWAS_IDA),2025Q3,3.220321640636738,0.23747340844354903,0.3906823937428103,8,164,41,80004316.0,31399574.0,DEWAS(DISTRICT COLLECTOR DEWAS_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.24); 33 works/quarter -> 14 works/quarter; 66% round-number amounts -> 95% round-number amounts; 13% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA),2025Q4,2.662753751054114,0.31033066692184175,0.38850829565250766,8,181,43,147693487.0,35165000.0,GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.31); 30 works/quarter -> 22 works/quarter; 8% round-number amounts -> 76% round-number amounts; 26% repeated descriptions -> 21% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA),2025Q4,3.3637460705595355,0.21355510781851028,0.3846805343663859,9,589,46,361553559.0,128305994.0,Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.21); 84 works/quarter -> 23 works/quarter; 13% round-number amounts -> 44% round-number amounts; 62% repeated descriptions -> 17% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA),2025Q1,3.349910693495479,0.21556607870089356,0.3844602838024086,8,224,54,101399011.0,45750000.0,RAIPUR(DISTRICT COLLECTOR RAIPUR_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.22); 56 works/quarter -> 14 works/quarter; 85% round-number amounts -> 100% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
BARGARH(DISTRICT COLLECTOR BARAGARH_IDA),2025Q3,3.577092015763711,0.20185768608624033,0.3818204163702392,7,243,88,76774510.0,33900000.0,BARGARH(DISTRICT COLLECTOR BARAGARH_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.20); 61 works/quarter -> 29 works/quarter; 7% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MYSURU(DEPUTY COMMISSIONER MYSORE_IDA),2025Q2,3.531883455954165,0.2028389806927334,0.38007435203388773,7,187,97,117400000.0,82200000.0,MYSURU(DEPUTY COMMISSIONER MYSORE_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.20); 62 works/quarter -> 24 works/quarter; 3% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BHARUCH(DISTRICT COLLECTOR BROACH_IDA),2025Q2,2.9188467100326614,0.260893243102177,0.3745213782350776,6,288,132,84463627.0,36638246.0,BHARUCH(DISTRICT COLLECTOR BROACH_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.26); 96 works/quarter -> 44 works/quarter; 53% round-number amounts -> 86% round-number amounts; 2% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA),2025Q4,3.325843490271359,0.21341943152041365,0.37418198407543973,10,608,41,297398881.0,34370000.0,KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.21); 76 works/quarter -> 20 works/quarter; 51% round-number amounts -> 93% round-number amounts; 3% repeated descriptions -> 8% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),2025Q3,2.959106631311163,0.2536288331241287,0.37317530127902876,7,227,129,182706024.0,116860345.0,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.25); 57 works/quarter -> 43 works/quarter; 15% round-number amounts -> 80% round-number amounts; 2% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SURAT(DISTRICT COLLECTOR SURAT_IDA),2024Q1,3.311778724921983,0.21327837946744774,0.36913461436230577,10,120,479,30323248.0,261074599.0,SURAT(DISTRICT COLLECTOR SURAT_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.21); 3% round-number amounts -> 33% round-number amounts; 12% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),2024Q3,2.945182193549692,0.2513507379470862,0.36770107646382144,10,466,569,181516366.0,289790155.0,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.25); 155 works/quarter -> 81 works/quarter; 4% round-number amounts -> 22% round-number amounts; 24% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Mahisagar(COLLECTOR MAHISAGAR_IDA),2024Q1,2.5792461586386968,0.32375221227990525,0.36738928725924647,9,51,420,7972000.0,114980167.0,Mahisagar(COLLECTOR MAHISAGAR_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.32); 26 works/quarter -> 60 works/quarter; 77% round-number amounts -> 64% round-number amounts; 5% repeated descriptions -> 8% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SIRSA(DEPUTY COMMISSIONER SIRSA_IDA),2025Q2,2.5779460015923448,0.32496690847253007,0.3662619277851548,7,62,153,22599422.0,46559276.0,SIRSA(DEPUTY COMMISSIONER SIRSA_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.32); 21 works/quarter -> 38 works/quarter; 20% round-number amounts -> 14% round-number amounts; 15% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA),2025Q4,2.49569370852211,0.3695586055110543,0.3662619277851548,7,175,19,219409734.61,30158888.0,Cooch Behar(DISTRICT MAGISTRATE COOCHBEHAR_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.37); 35 works/quarter -> 10 works/quarter; 14% round-number amounts -> 23% round-number amounts; 1% repeated descriptions -> 8% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),2025Q2,2.987922068664784,0.24733512765501656,0.36280390585982236,10,279,150,190398979.0,103144995.0,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.25); 46 works/quarter -> 38 works/quarter; 20% round-number amounts -> 61% round-number amounts; 7% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BANKA(DISTRICT PLANNING OFFICER BANKA_IDA),2024Q4,2.508419181472225,0.3577127582137607,0.36086232817787894,6,68,47,59074208.0,46755849.0,BANKA(DISTRICT PLANNING OFFICER BANKA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.36); 23 works/quarter -> 16 works/quarter; 6% round-number amounts -> 20% round-number amounts; 0% repeated descriptions -> 9% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
CHHATARPUR(District Collector Chhatarpur_IDA),2025Q3,2.4936743297589072,0.3626708002769766,0.3601989777490055,7,234,73,103397392.0,25471510.0,CHHATARPUR(District Collector Chhatarpur_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.36); 47 works/quarter -> 36 works/quarter; 81% round-number amounts -> 58% round-number amounts; 51% repeated descriptions -> 43% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JALNA(DISTRICT COLLECTOR JALNA_IDA),2024Q3,3.1915760741220436,0.2167383698588004,0.35953440342323006,7,81,61,65780662.0,57491000.0,JALNA(DISTRICT COLLECTOR JALNA_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.22); 27 works/quarter -> 15 works/quarter; 24% round-number amounts -> 89% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA),2024Q4,2.551481586980831,0.34038699839596853,0.358826944567934,6,286,42,87309030.0,8759758.0,DHOLPUR(DISTRICT COLLECTOR DHOLPUR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.34); 143 works/quarter -> 10 works/quarter; 5% round-number amounts -> 25% round-number amounts; 3% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),2025Q3,3.3210647551568817,0.20574879398036272,0.35770045757160945,8,331,50,76238832.0,13000000.0,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.21); 66 works/quarter -> 17 works/quarter; 12% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA),2025Q4,2.551142122216726,0.33785230288555723,0.3556679926309688,8,146,27,128544854.0,28690000.0,Sri Sathya Sai(DISTRICT COLLECTOR SRI SATHYA SAI_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.34); 24 works/quarter -> 14 works/quarter; 28% round-number amounts -> 83% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KHERI(DISTRICT MAGISTRAE KHERI_IDA),2024Q4,2.288228512998258,0.7921948866332269,0.3547070956782368,8,61,542,61393902.52,145772668.0,KHERI(DISTRICT MAGISTRAE KHERI_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.79); 30 works/quarter -> 90 works/quarter; 0% repeated descriptions -> 11% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BHADRADRI KOTHAGUDEM(District Collector Bhadradri Ktdm_IDA),2025Q3,2.304650445747452,0.6824360968570622,0.35429247590393853,7,90,81,54373584.0,37740000.0,BHADRADRI KOTHAGUDEM(District Collector Bhadradri Ktdm_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.68); 22 works/quarter -> 27 works/quarter; 51% round-number amounts -> 96% round-number amounts; 4% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA),2024Q3,2.5375087441857755,0.3415076780519447,0.353497015979092,6,143,118,56286969.0,45983708.0,NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.34); 48 works/quarter -> 39 works/quarter; 50% round-number amounts -> 27% round-number amounts; 0% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PONDICHERRY(PROJECT DIRECTOR RDA PUDUCHERRY_IDA),2025Q3,2.6281073957559444,0.2935224857118549,0.3520988680507977,9,152,44,320958796.0,63107938.0,PONDICHERRY(PROJECT DIRECTOR RDA PUDUCHERRY_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.29); 25 works/quarter -> 15 works/quarter. Before/after shown for review — a change-point is not evidence of wrongdoing.
KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA),2024Q4,2.470028932663604,0.36746993013099927,0.350780380010057,7,48,37,100882540.0,44300000.0,KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.37); 16 works/quarter -> 9 works/quarter; 0% repeated descriptions -> 6% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA),2025Q4,2.558416777575531,0.3199766646296822,0.3503326703445088,9,185,20,191897735.0,28302793.0,BHAGALPUR(DISTRICT PLANNING OFFICER BHAGALPUR_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.32); 26 works/quarter -> 10 works/quarter; 2% round-number amounts -> 8% round-number amounts; 5% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),2025Q2,3.176517493026543,0.21347293781466192,0.3498416642583047,7,92,58,51039522.0,45744600.0,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.21); 23 works/quarter -> 19 works/quarter; 67% round-number amounts -> 92% round-number amounts; 11% repeated descriptions -> 53% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NANDED(DISTRICT COLLECTOR NANDED_IDA),2024Q4,3.545706178731656,0.1890744611910456,0.3497562015321588,8,203,297,139465717.0,303631424.0,NANDED(DISTRICT COLLECTOR NANDED_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.19); 102 works/quarter -> 50 works/quarter; 22% round-number amounts -> 73% round-number amounts; 1% repeated descriptions -> 6% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
GOALPARA(Deputy Commissioner Goalpara_IDA),2025Q1,2.4215011752704187,0.40414101394219126,0.34802822410029927,7,59,37,31625800.0,33250000.0,GOALPARA(Deputy Commissioner Goalpara_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.40); 20 works/quarter -> 9 works/quarter; 67% round-number amounts -> 100% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA),2025Q4,3.240317137622037,0.2079450980778994,0.34716818598806676,10,320,45,252440158.0,20171191.0,MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.21); 40 works/quarter -> 22 works/quarter; 32% round-number amounts -> 54% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KANGRA(DEPUTY COMMISSIONER KANGRA_IDA),2024Q1,2.4544040816838386,0.38076788775462905,0.34588852420031135,10,32,1224,18959360.0,313777082.0,KANGRA(DEPUTY COMMISSIONER KANGRA_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.38); 16 works/quarter -> 153 works/quarter; 77% round-number amounts -> 65% round-number amounts; 0% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),2025Q2,2.6349812841501596,0.2873831392136889,0.34526134594325936,7,103,85,85168071.0,67320000.0,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.29); 2% round-number amounts -> 39% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),2025Q2,2.345945066470876,0.4920601774989084,0.34279203250807977,8,290,163,87495720.0,51227000.0,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.49); 97% round-number amounts -> 70% round-number amounts; 8% repeated descriptions -> 61% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA),2025Q4,3.2024849341811517,0.21181286452312592,0.3427048117698438,9,395,243,353397381.0,182570057.0,PURBA BARDHAMAN(DISTRICT MAGISTRATE PURBA BARDHAMAN_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.21); 56 works/quarter -> 122 works/quarter; 33% round-number amounts -> 52% round-number amounts; 0% repeated descriptions -> 2% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NARMADA(DISTRICT COLLECTOR NARMADA_IDA),2025Q3,2.7627616380082176,0.25793110400288577,0.34112372215044723,9,140,71,137063340.0,22146586.0,NARMADA(DISTRICT COLLECTOR NARMADA_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.26); 46% round-number amounts -> 95% round-number amounts; 0% repeated descriptions -> 12% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),2025Q4,2.685215684539734,0.27275159540967,0.33916821273611747,11,526,44,720571782.0,71793151.0,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.27); 58 works/quarter -> 22 works/quarter; 39% round-number amounts -> 61% round-number amounts; 17% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA),2025Q3,2.3175312704916124,0.5168626502978371,0.338020432074749,6,317,46,220837401.0,39306278.0,BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.52); 79 works/quarter -> 23 works/quarter; 48% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DURG(DISTRICT COLLECTOR DURG_IDA),2025Q2,2.402626719841499,0.41001701497674403,0.3378582518480742,7,160,107,68890729.0,68372433.0,DURG(DISTRICT COLLECTOR DURG_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.41); 53 works/quarter -> 27 works/quarter; 55% repeated descriptions -> 31% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA),2025Q2,2.5766568040375697,0.29722683465432476,0.3366764091294276,9,105,137,108680526.0,71057077.0,AYODHYA(DISTRICT MAGISTRAE FAIZABAD_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.30); 21 works/quarter -> 34 works/quarter; 0% round-number amounts -> 3% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
